scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
153024,Motilal Oswal Nifty MidSmall India Consumption Index Fund-Regular Plan-Growth,Motilal Oswal Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153026,Motilal Oswal Nifty MidSmall Financial Services Index Fund-Regular Plan-Growth,Motilal Oswal Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153028,Motilal Oswal Nifty MidSmall IT and Telecom Index Fund-Regular Plan-Growth,Motilal Oswal Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153033,Aditya Birla Sun Life Crisil-IBX AAA Financial Services Index-Sep 2027 Fund-Regular Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153100,Groww Multicap Fund - Regular - Growth,Groww Asset Management Limited,Open Ended,Equity Scheme - Multi Cap Fund,Equity,Multi Cap Fund
153036,Shriram Liquid Fund - Regular Plan Growth Option,Shriram Asset Management Co. Ltd.,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
153040,PGIM India Healthcare Fund - Regular Plan - Growth Option,PGIM India Asset Management Private Limite,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153042,Franklin India Arbitrage Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
153045,Mirae Asset Nifty 1D Rate Liquid ETF - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Other Scheme - Other  ETFs,Other,Other  ETFs
153046,Invesco India Multi Asset Allocation Fund - Regular Plan - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
153050,Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153059,Tata India Innovation Fund- Regular Growth,Tata Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153061,Nippon India Nifty Realty Index Fund-Regular Plan- Growth Option,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153066,Nippon India Nifty Auto Index Fund - Regular Plan- Growth Option,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153069,ICICI Prudential Equity Minimum Variance Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
